"Plot","NORTHING","EASTING","Dist_year","Dist_hist","Yrs_P_Dist","NEAR_FID","NEAR_DIST","dem","tpi200","tpi1000","dc","dac","hli","rugg","crv","d2w","wind","windExp","northness","eastness","Part_incomplete","ST.parent","ST","VT","FG","texture","bedrock","stones","humus_thick","MR","NR","drainage","micro_relief","MottDepth","GleyDepth","CoarseFrags","CarbonTonnesPerHa","CarbonTotalKg","O_dep","AhTOT","AhTOTupl"
2499,4856450,293643,NA,"no",0,2226,514.33257723,56.2906227111816,0.434372901916504,3.97782611846924,27022.236328125,19751.357421875,0.672829926013947,1.0215300321579,-0.000411999993957579,148,31184.736328125,3,-0.147256925776264,0.989098275102593,"yes",2,"2","MW12","MW",3,0,0,10,3,2.5,3,6,200,200,0,NA,NA,0,0,0
2500,4868690,279221,NA,"no",0,2233,1117.55536776,44.6042709350586,5.18150424957275,8.14027690887451,23958.01953125,16012.626953125,0.525464832782745,5.02471780776978,-0.00160600000526756,1195,31650.107421875,3,0.675161463969457,0.737669978764637,"yes",2,"2S","IH2","IH",3,0,2,4,2.5,1.5,3,4,200,200,0,0.9,36.08,0,0,0
2501,4867379,279759,NA,"no",0,2233,401.403786729,51.8743095397949,8.36782169342041,7.71919727325439,23640.685546875,15320.4814453125,0.642709732055664,1.66654098033905,0.00210299994796515,945,32258.986328125,3,0.446386326538851,0.894840347480572,"yes",2,"2","IH2","IH",3,0,0.5,5,2.5,1.5,3,4,200,200,0,2.41,96.21,0,0,0
2502,4865402,281253,NA,"no",0,2231,1055.85320949,58.0969696044922,2.97177410125732,3.60006141662598,22159.689453125,14972.177734375,0.68169242143631,2.79852962493896,0.00577699998393655,602,31384.34765625,3,0.950521159104575,-0.310659823753403,"yes",2,"2S","IH1","IH",3,0,0.5,7,2.5,1.5,3,2,200,200,NA,1.2,48.11,0,NA,NA
2503,4864777,282104,NA,"no",0,2237,438.488312273,83.3701858520508,4.72684860229492,20.2922859191895,23506.662109375,15250.12109375,0.706453204154968,1.21189343929291,-0.00341199990361929,849,32267.9609375,3,-0.796646509898229,-0.60444547997894,"yes",2,"2","IH2","IH",3,6,0.5,6,2.5,1.5,3,2,200,200,0,8.72,348.76,0,0,0
2504,4863251,284820,NA,"no",0,2237,2693.19215802,67.9833297729492,2.0185718536377,7.52854919433594,24464.52734375,16691.015625,0.706405282020569,1.11790454387665,-0.00125199998728931,280,33451.671875,3,-0.779273680700661,-0.626683756425236,"yes",2,"2","IH2a","IH",3,0,2,13,3.5,1.5,4,2,200,200,0,NA,NA,0,0,0
2505,4867769,279854,NA,"no",0,2229,401.403786729,35.5578727722168,-1.25103092193604,-5.3960542678833,23613.7578125,15676.1484375,0.701433479785919,1.62461578845978,-0.000815999985206872,89,31572.6640625,3,0.642562763014977,-0.766233055660325,"yes",3,"3S","IH2a","IH",3,0,2,NA,4,2,4,4,15,200,NA,7.26,290.27,0,NA,NA
2506,4866911,279746,NA,"no",0,2229,468.18052074,52.0583839416504,0.0434408187866211,3.32023143768311,23083.787109375,14953.625,0.675871431827545,0.751403033733368,0.00174099998548627,88,31904.6328125,3,0.997135250255669,-0.0756392272406556,"yes",2,"2S","MW11","MW",3,0,2,3,2.5,2.5,3,4,200,200,0,2.51,100.22,0,0,0
2507,4865470,280004,NA,"no",0,2236,229.026199375,51.8668251037598,0.756669998168945,2.21427822113037,21320.70703125,14092.9580078125,0.699082911014557,0.749146044254303,0.00165600003674626,186,31735.712890625,3,-0.0356511053087696,-0.999364297286161,"yes",2,"2","IH1","IH",3,0,0.5,NA,2.5,2.5,3,2,200,200,0,7.52,300.66,0,0,0
2508,4865677,280102,NA,"no",0,2235,229.026199375,51.8954467773438,-0.461181640625,1.17320156097412,21563.9296875,14310.9599609375,0.675287306308746,0.364618331193924,-0.000174999993760139,22,31358.580078125,3,0.98782894107971,0.155544151819795,"yes",3,"3S","WC2a","WC",3,0,0.5,8,3.5,2,4,4,18,200,0,0.41,16.4,0,0,0
2509,4864473,282420,NA,"no",0,2231,438.488312273,69.2378692626953,-0.472023010253906,6.40425300598145,22949.974609375,15317.6279296875,0.722390472888947,3.2951443195343,0.00123799999710172,291,31617.25390625,3,-0.775722412359793,0.631074273729094,"yes",2,"2S","IH2","IH",3,0,0,6,2,1.5,3,2,200,200,0,4.22,168.73,0,0,0
2510,4855792,297391,NA,"no",0,2240,758.166868176,47.1300201416016,5.22074890136719,8.8883810043335,21374.775390625,16511.314453125,0.618950068950653,2.21203923225403,0.00088900001719594,798,31300.26171875,3,0.605808144941921,0.795610766343712,"yes",2,"2","MW11","MW",3,0,0.5,3,2.5,1.5,3,2,200,200,0,1.22,48.83,0,0,0
2511,4850429,295898,NA,"no",0,2241,285.50656735,26.9566860198975,-0.753738880157471,-3.04662942886353,22839.435546875,14588.267578125,0.678592264652252,0.0923169180750847,0.000167999998666346,5,33488.26953125,3,0.712567389416785,0.701603674120758,"no",14,"14","WC7a","WC",0,0,0,100,7,1,6,1,0,0,NA,4.2,168.1,100,NA,NA
2512,4856543,297287,NA,"no",0,2238,758.166868176,45.8894386291504,6.13144683837891,6.00048828125,21752.6484375,17091.05078125,0.672479808330536,1.48440861701965,0.00190300005488098,518,30479.18359375,3,-0.230206456244886,0.973141812637383,"yes",2,"2","IH2","IH",3,0,0.5,7,3,2.5,3,4,200,200,0,4.97,198.62,0,0,0
2513,4850714,295881,NA,"no",0,2239,285.50656735,26.3235244750977,-0.934379100799561,-3.90974283218384,22964.80859375,14722.0673828125,0.683945715427399,0.11895390599966,-0.000104999999166466,4,34455.74609375,3,0.0615190330301144,-0.998105910500003,"no",14,"14","WD4","WD",0,0,0,100,7,3,6,1,0,0,NA,10.76,430.49,100,NA,NA
2514,4845030,295541,NA,"no",0,878,369.898634764,25.2167778015137,0.495455265045166,2.4390172958374,16404.423828125,12954.4345703125,0.6726154088974,0.438357353210449,-0.00100299995392561,0,34468.9140625,3,0.527438595733383,0.849593154239602,"yes",1,"1","OW3","OW",4,0,0,9,1.5,1,2,1,200,200,NA,NA,NA,0,NA,NA
2515,5143280,666790,NA,"no",0,2244,189.78935692,412.654907226562,-1.69864654541016,-11.6883316040039,47893.83203125,80058.8515625,0.67054146528244,0.597543179988861,0.00140800001099706,44,31385.490234375,1,0.11072736045959,0.993850819613111,"no",4,"4","WB2","WB",3,0,0,23,7,3,6,1,0,0,0,26.65,1065.97,23,0,0
2516,5143092,666764,NA,"no",0,2243,189.78935692,415.716003417969,-0.958053588867188,-11.824333190918,47954.3828125,79939.796875,0.665753662586212,0.788979411125183,-0.000180999995791353,99,30473.60546875,1,0.954715819276984,0.29751925050705,"no",14,"14","WB2","WB",0,0,0,92,7,3,6,1,0,0,NA,35.87,1434.96,82,NA,NA
2517,5141164,668898,NA,"no",0,2208,344.911582873,387.883178710938,-2.88945007324219,-20.3817825317383,43170.0625,77075.390625,0.702222108840942,1.10887277126312,-0.00314899999648333,6,32799.80859375,2,-0.994755231328027,-0.102284063986156,"no",4,"4","WB2","WB",3,0,0,40,6.5,3,6,1,0,0,0,19.27,770.78,30,0,0
2518,5141594,672381,NA,"no",0,2288,1987.44383568,359.679260253906,-11.6839828491211,-31.8610305786133,41049.6015625,75081.09375,0.694867432117462,2.0446720123291,0.00625099986791611,2,33605.515625,2.33073401451111,-0.633033182674479,0.774124660266691,"no",4,"4","WB2","WB",3,0,0,0,6.5,3.5,6,1,15,15,NA,22.65,906.07,0,NA,NA
2519,5135222,672193,NA,"no",0,2224,105.51303237,358.119262695312,-0.641403198242188,-7.87584686279297,35168.8125,70488.8515625,0.676367878913879,0.222157627344131,8.49999996717088e-05,0,33460.62109375,1,0.957771852395234,0.287529265918102,"no",14,"14","OR","OR",0,0,0,41,7,1.5,6,1,0,0,NA,NA,NA,95,NA,NA
2520,5137240,668346,NA,"no",0,1433,1976.27933248,381.457885742188,-3.22111511230469,-12.4075622558594,41986.5703125,74615.0390625,0.69594019651413,0.783071100711823,-0.000763999996706843,5,33132.54296875,2,-0.738304009959121,-0.674468078472423,"no",4,"4","WB2","WB",3,0,0,40,7,3.5,6,1,15,15,NA,4.41,176.29,0,0,0
2521,5052516,564989,NA,"no",0,2250,148.030402283,189.73063659668,10.3455772399902,-14.2541198730469,30695.21875,57233.85546875,0.638506054878235,4.19103574752808,0.00125800003297627,1739,27784.08984375,3,0.98824397257569,-0.152885089749846,"yes",2,"2L","MW7","MW",2,0,0,7,3,3,3,6,200,200,0,13.83,553.12,0,0,0
2522,5052519,564841,NA,"no",0,2249,148.030402283,179.145751953125,-10.6726493835449,-25.1060638427734,30727.794921875,57371.9140625,0.630627810955048,2.46600294113159,-0.00162999995518476,48,28981.5234375,4,0.974759189028583,0.223258870830117,"no",13,"13","WC9","WC",1,0,0,4,7,4,6,1,0,9,2,18.55,742.08,0,9,0
2523,4954697,446969,NA,"no",0,543,5439.67738014,84.724853515625,4.32512474060059,35.9679336547852,6735.1669921875,18865.806640625,0.506811916828156,5.58444690704346,0.00127400003839284,1845,30235.669921875,3,0.678485290457039,0.73461398750189,"yes",8,"8","TH3","TH",2,0,0,2,4,4,4,6,200,200,0,NA,NA,0,5,5
2524,4945250,440198,NA,"no",0,1123,3761.93793144,119.161010742188,6.11166191101074,19.2809581756592,17254.34375,13670.521484375,0.688476800918579,2.71835041046143,0.00138499995227903,1015,30925.08984375,1.64570665359497,-0.499320044896196,0.866417620299161,"yes",5,"5","IH2","IH",1,17,2,11,2.5,2,3,2,45,200,0,NA,NA,0,0,0
2525,5030904,576365,NA,"no",0,2254,171.128606609,56.6388893127441,0.602954864501953,-11.8570079803467,35238.890625,35198.81640625,0.78160572052002,4.28137159347534,-0.000730000028852373,684,35868.6328125,4,-0.123328318474984,-0.992365923368055,"no",11,"11","OF6","OF",1,0,0.5,1,2.5,4,4,1,45,200,30,NA,NA,0,15,15
2526,5030962,576526,NA,"no",0,2253,171.128606609,88.2124404907227,5.5012035369873,13.2673683166504,36126.41015625,35202.7109375,0.758568167686462,3.22520184516907,4.99999987368938e-06,624,32235.876953125,3,0.173683321758984,-0.984801555513985,"no",11,"11","OF6","OF",1,0,0.5,4,3,3.5,3,1,45,200,20,NA,NA,0,12,12
2527,5069594,470942,NA,"no",0,1145,3436.06868383,43.1481018066406,0.801196098327637,-7.4669828414917,4826.9013671875,113447.03125,0.723876655101776,1.78245413303375,-0.00195199996232986,216,33211.65234375,3,-0.981066064756026,0.193673376033272,"no",12,"6","IH9","IH",1,0,0.5,2,3.5,2.5,5,2,20,200,17,NA,NA,0,5,5
2528,5072121,458156,NA,"no",0,1289,3100.51931134,13.5344390869141,0.00162029266357422,1.6474871635437,2501.96215820312,118467.296875,0.691592395305634,0.795863747596741,0.000296000012895092,94,30619.845703125,3,-0.753841265463752,0.657056577840911,"no",9,"9","IH9","IH",2,0,0,2,5.5,2,5.5,1,0,7,0,NA,NA,0,7,0
